make,pred_price
Land Rover,9144.532556332324
RAM,9137.550258616719
Lexus,9107.233634169548
Mercedes-benz,9067.497785093377
mercedes-benz,9035.46383357236
Hummer,9024.650336437833
Maserati,9005.217307602305
Ram,8830.91185721195
Pontiac,8767.37852462737
unknown,8750.480891028385
toyota,8747.165368550144
Suzuki,8731.954237534834
Toyota,8721.245772960146
Freightliner,8648.800469414864
BMW,8644.124558702799
Acura,8602.14453341855
CHRYSLER,8592.867174482764
Lincoln,8556.819241105455
Chevrolet,8554.157496583952
Audi,8537.219154373419
Dodge,8535.631528909003
INFINITI,8528.955935270189
Jeep,8497.638981200056
chevrolet,8478.947965603817
Mercedes Benz,8476.964575881637
Ford,8448.755269396326
International,8414.455867426572
CHEVROLET,8406.29463361152
pontiac,8405.875685763345
Mercedes,8404.980016827525
Jaguar,8402.17131547191
Chevy,8371.347735848469
GMC,8342.772695144782
Mercedes-Benz,8340.278533538572
Cadillac,8332.741469565128
NISSAN,8315.05828887307
Kia,8307.181194969966
Hyundai,8298.640826969293
Buick,8227.030448461086
jeep,8220.292054920137
JEEP,8206.027297263909
cadillac,8203.6634177799
Infiniti,8187.246600030952
volvo,8184.940740910322
Subaru,8183.765194444633
ford,8183.242158282904
Chrysler,8182.167248462605
volkswagen,8176.279108966758
bmw,8146.979251341453
chevy,8096.02690977166
Mini,8077.163484489664
Fiat,8051.631759114111
honda,8042.206810795952
Honda,8023.083994633838
chrysler,8017.896647988079
VW,8016.911748813402
lexus,8006.9540104163925
mazda,8006.117963589434
Mitsubishi,7998.302971398905
SUBARU,7981.281932427206
Mazda,7977.1696510565525
Saab,7976.999739065771
AMC,7967.21034687629
tesla,7951.141498497926
Volkswagen,7936.751256901752
Tesla,7903.85796686524
Nissan,7867.470556587512
Mercury,7865.184433739525
Scion,7851.610485324185
hyundai,7833.56427647309
TESLA,7767.421960173035
subaru,7765.648425668886
kia,7724.110692564761
dodge,7597.135837346207
ACURA,7587.749486467791
acura,7459.501190263156
HONDA,7412.7423601796645
Volvo,7349.029051675747
TOYOTA,7316.651746184651
nissan,7200.414649439405
FORD,7184.702386942939
